trajectory,wmo_id,profile_id,time_epoch_s,elapsed_s,latitude_deg,longitude_deg,pressure_dbar,depth_m,temperature_deg_c,time_qc,latitude_qc,longitude_qc,pressure_qc,depth_qc,position_horizontal_valid,depth_valid,pressure_valid
murphy-20150809T135508Z,4801919,1,1439128508.19791007,0.00000000,27.0607497737591,-88.9924533775788,11.3015003204346,11.2268542882021,30.1513996124268,0,0,0,0,0,true,true,true
murphy-20150809T135508Z,4801919,1,1439128518.59228992,10.39437985,27.0608225654146,-88.9924520556616,11.9585008621216,11.8794963108280,30.1159992218018,0,0,0,0,0,true,true,true
murphy-20150809T135508Z,4801919,1,1439128528.92859006,20.73067999,27.0608949502207,-88.9924507411330,13.7800006866455,13.6889025987208,30.1063995361328,0,0,0,0,0,true,true,true
murphy-20150809T135508Z,4801919,1,1439128539.25528002,31.05736995,27.0609672676882,-88.9924494278272,16.2129974365234,16.1057179897388,30.0928993225098,0,0,0,0,0,true,true,true
murphy-20150809T135508Z,4801919,1,1439128549.61646008,41.41855001,27.0610398268986,-88.9924481101313,18.6863479614258,18.5625919024978,30.0662994384766,0,0,0,0,0,true,true,true
murphy-20150809T135508Z,4801919,1,1439128561.39435005,53.19643998,27.0611223071467,-88.9924466122666,21.3239307403564,21.1825727972622,30.0550994873047,0,0,0,0,0,true,true,true
murphy-20150809T135508Z,4801919,1,1439128573.35727000,65.15935993,27.0612060831704,-88.9924450908702,22.7816638946533,22.6305605252711,30.0384006500244,0,0,0,0,0,true,true,true
murphy-20150809T135508Z,4801919,1,1439128583.51681995,75.31890988,27.0612772302417,-88.9924437988191,24.0699977874756,23.9102764282963,30.0196990966797,0,0,0,0,0,true,true,true
